facility_name,facility_code,facility_type,facility_ownership,latitude,longitude,admin1,status
Namokora HC IV,iqr4dCf6xsU,HC IV,GOV,3.348807,33.339213,Acholi,Functional
Omiya Anyima HC III,MObVMkBVjki,HC III,GOV,3.266765,33.207464,Acholi,Functional
Orom-Tikau Prison HC II,wHXti4lneOb,HC II,GOV,NA,NA,Acholi,Functional
Orom HC III,auzlyXb92mq,HC III,GOV,3.408904,33.467947,Acholi,Functional
Lalekan HC II,Kz91AKphExv,HC II,GOV,3.484765,33.410688,Acholi,Functional
Akurumor HC II,QgpawnbKpCj,HC II,GOV,3.450609,33.654287,Acholi,Functional
Akilok HC II,GHx4dLfIox3,HC II,GOV,3.551634,33.485393,Acholi,Functional
St. Phillip's  Medical Clinic,bGukebSAb69,Clinic,PFP,3.306532,32.880733,Acholi,Functional
Diocese Of Kitgum HC II,CK05rJs1H25,HC II,PNFP,3.308159,32.871777,Acholi,Functional
St. Joseph's  Kitgum Hospital,g6xaEQ1fTQS,General Hospital,PNFP,3.302925,32.892546,Acholi,Functional
Yot Kom Hospital,nfcZPqAomrp,General Hospital,PNFP,3.284505,32.88808,Acholi,Functional
Kitgum Youth Center Clinic,JEOnniXpbdj,Clinic,PNFP,3.29712,32.885919,Acholi,Functional
Nimaro Medical Clinic,mrFe7PfavEW,Clinic,PFP,3.294289,32.888318,Acholi,Functional
Pandwong HC III,zC42y3uy5hp,HC III,GOV,3.29802,32.8807,Acholi,Functional
New Life HC III,v6eIpzse4SO,HC III,PNFP,3.293369,32.886761,Acholi,Functional
Pawach HC II,V3tE4k6mED1,HC II,GOV,3.693361,32.930199,Acholi,Functional
Lututuru Prison Clinic,Yt5KV7Q0Zp4,HC II,GOV,NA,NA,Acholi,Functional
Agoro HC III,tvKjvN8d4rR,HC III,GOV,3.800489,33.018115,Acholi,Functional
Potika HC II,a0zKrkhl5M6,HC II,GOV,3.718787,32.880755,Acholi,Functional
Pearl Medical Centre Clinic,f7QBXazOuB2,Clinic,PFP,3.464663,31.248056,Acholi,Functional
Lamwo Police HC II,fOeJTkJdDNS,HC II,GOV,NA,NA,Acholi,Functional
Lamwo Prison HC II,EsNOJ2SO3pj,HC II,GOV,NA,NA,Acholi,Functional
Lokung HC III,MV2QkTgUIz1,HC III,GOV,3.592157,32.707255,Acholi,Functional
Pearl Medical Center Clinic,PeqFGkxMSjw,Clinic,PFP,3.593706,32.716391,Acholi,Functional
Dibolyec HC II,XBRMWAS3FO2,HC II,GOV,3.657412,32.740901,Acholi,Functional
Ngomoromo HC II,ahIE2es9s39,HC II,GOV,3.686463,32.589072,Acholi,Functional
Pangira HC II,fnse10SronT,HC II,GOV,3.613321,32.65296,Acholi,Functional
Madi-Opei HC IV,Z3lDSWMFUyS,HC IV,GOV,3.603996,33.087528,Acholi,Functional
Okol HC II,t7sCLD2E7gA,HC II,GOV,3.521562,33.069421,Acholi,Functional
Romeo HC II,emDq7VMiwIp,HC II,GOV,3.567844,33.081705,Acholi,Functional
Ogako HC II,p1DN5s8Iw8F,HC II,GOV,3.463275,32.894065,Acholi,Functional
Katum HC II,a4WmbJQWIME,HC III,GOV,3.565492,32.817039,Acholi,Functional
St. Peter and Paul HC III,U1ijnXGUuGE,HC III,PNFP,3.484769,32.82461,Acholi,Functional
Padibe HC IV,H026HbOAZFN,HC IV,GOV,3.487513,32.816435,Acholi,Functional
Madi Kiloch HC II,pulKKykB9je,HC II,GOV,3.424041,32.734949,Acholi,Functional
Padibe West HC III,K74ysFimUwH,HC III,GOV,3.451703,32.772551,Acholi,Functional
Anaka HC II,bLzMzz5fzGQ,HC II,GOV,3.359264,32.567688,Acholi,Functional
Cubu Community HC II,gzqo9YKPZx1,HC II,PNFP,3.251458,32.653954,Acholi,Functional
Palabek-Gem HC III,aNW8E8PWwck,HC III,GOV,3.378146,32.65255,Acholi,Functional
Pauma HC II,Js1aBKNVudQ,HC II,GOV,3.495472,32.557311,Acholi,Functional
Palabek-Kal HC III,VLi163AL9A0,HC IV,GOV,3.434002,32.582028,Acholi,Functional
Kapeta HC II,p0bIifvmV47,HC II,GOV,3.506744,32.589391,Acholi,Functional
Good Hope Medical Centre (Lamwo) Clinic,Rm1RDQip79X,Clinic,PFP,NA,NA,Acholi,Non-Functional
Palabek Ogili HC III,lmi2JiLawTV,HC III,GOV,3.409538,32.498022,Acholi,Functional
Paluda HC III,BqmsCq2bJXK,HC III,GOV,3.360921,32.441757,Acholi,Functional
Apyeta HC II,mG8iTKOSCCi,HC II,GOV,3.371314,32.415451,Acholi,Functional
Awich HC II,uhK5lYkfbvk,HC III,GOV,3.376829,32.453749,Acholi,Functional
Paloga HC III,aod4x8edzQu,HC III,GOV,3.592041,32.944047,Acholi,Functional
Alero HC III,EPyMwPkmKPx,HC III,GOV,2.687243,32.025424,Acholi,Functional
God's  Mercy HC II,i37kvNZojdz,HC II,PFP,2.59446,31.959357,Acholi,Functional
NUMES Medical Centre,hA3RIyJEMci,HC II,PFP,2.599162,31.949447,Acholi,Non-Functional
Nwoya Prisions,Xbg5zMwUaaR,HC II,GOV,NA,NA,Acholi,Functional
Anaka Hospital,PgRLMNQdejC,General Hospital,GOV,2.59982,31.947921,Acholi,Functional
St. Francis HC II,Y6HWuEiOwo8,HC II,PNFP,2.595972,31.95305,Acholi,Functional
Exodus HC II,s6nvpDfR2Vg,HC II,PFP,2.598334,31.95197,Acholi,Functional
Todora HC II,Fx43OzTkOmx,HC III,GOV,2.489571,31.93322,Acholi,Functional
St. Andrew HC II,XNgY6vmosgX,HC II,PNFP,2.538745,31.995268,Acholi,Functional
Latoro HC II,u3JBwviodwN,HC II,GOV,2.565984,31.64553,Acholi,Functional
Gotapwoyo Health Centre III,C8f6w3L7MNE,HC III,GOV,NA,NA,Acholi,Functional
Flama HC II,JzFXi2QJM1b,HC II,PFP,2.606318,32.17005,Acholi,Functional
Palwak HC II,BiL6e2ZKUCO,HC II,PFP,2.604998,32.172734,Acholi,Functional
Koch Goma HC III,NdIteLoT2FC,HC III,GOV,2.602978,32.170241,Acholi,Functional
Corom HC II,rKGazd2JbUJ,HC II,GOV,2.62998,32.029094,Acholi,Functional
St. Stefano Campagnolo Memorial HC II,IgWKJ3pwQKT,HC II,PNFP,2.5986,32.100227,Acholi,Functional
Thomas Charities Goro Medical Clinic,z6AYrCFBI4u,HC II,PFP,NA,NA,Acholi,Functional
Koch Lii HC III,uG6WV4UKNaB,HC III,GOV,2.478293,32.215691,Acholi,Functional
Chobe Safari Lodge HC II,d9upGtVO7uQ,HC II,PFP,2.242376,32.135953,Acholi,Non-Functional
Panokrach HC II,GHuhd5Ob0aS,HC II,GOV,2.78042,31.927358,Acholi,Functional
Goodsheperd HC II,TF8Nekqc89W,HC II,PNFP,2.642744,32.001254,Acholi,Functional
Lulyango HC II,u5RZ36WcsNN,HC II,GOV,2.644577,31.893491,Acholi,Functional
Langol HC II,w4z6Vt9nkBs,HC II,GOV,2.740038,32.116425,Acholi,Functional
Paraa Health Centre III,KXgSNsSsRDy,HC III,GOV,NA,NA,Acholi,Functional
Paraa Safari Lodge HC II,tvBHeHr19vb,Clinic,PFP,2.289868,31.57236,Acholi,Functional
Wiianaka HC II,PaFDdt89chv,HC II,PNFP,2.579479,31.775415,Acholi,Functional
Oruka Health Centre,LjL2V3Rp6mk,HC III,GOV,NA,NA,Acholi,Functional
Aparanga HC II,MT5KksXURUZ,HC II,GOV,2.554611,31.902248,Acholi,Functional
Kibar HC II,VP7U4YcD16g,HC III,GOV,2.510663,31.841127,Acholi,Functional
Purongo HC III,fZ4QbeGxt8t,HC III,GOV,2.536737,31.840597,Acholi,Functional
Lakony Medcal Centre,fOcpxbnY878,HC II,PFP,2.535218,31.838149,Acholi,Functional
Abwoch HC II,JryqknC2SNp,HC III,GOV,2.705039,32.281815,Acholi,Functional
Patuda HC II,U7bVIR5Teiu,HC II,GOV,2.740782,32.259636,Acholi,Functional
Acet HC II,b5RkGqLLhrM,HC III,GOV,2.684809,32.655673,Acholi,Functional
Awoo HC II,zardxfXWmkO,HC III,GOV,2.531977,32.414163,Acholi,Functional
Minakulu (Bobi) HC II,TDEdS0suFyQ,HC II,PNFP,2.49953,32.368051,Acholi,Functional
Tekulu HC II,H3WUcWzPtWb,HC III,GOV,2.490587,32.42415,Acholi,Functional
Heritage Clinic,QScw1OtIUHL,Clinic,PFP,2.555063,32.35737,Acholi,Non-Functional
Lela-Obaro HC II,tbLOoJ5HpgT,HC II,GOV,2.578218,32.276727,Acholi,Functional
Mama Chef Clinic,dhaWOvNE3VT,Clinic,PFP,NA,NA,Acholi,Non-Functional
Obangatwero Clinic,LwjvSxyQN4J,Clinic,PFP,NA,NA,Acholi,Non-Functional
Geofrey Clinic,FvWwsC1Skpw,Clinic,PFP,NA,NA,Acholi,Non-Functional
Bobi HC III,bah36yY0P6q,HC III,GOV,2.576826,32.353207,Acholi,Functional
Lakwatomer HC II,qKVewTpVtG6,HC III,GOV,2.695394,32.415916,Acholi,Functional
Mother Angioletta Memorial Clinic,n4iwSO6iule,HC II,PNFP,2.696838,32.315691,Acholi,Functional
Robos Medical Centre,VY8NMzd0015,Clinic,PFP,2.749512,32.397702,Acholi,Non-Functional
Safe Life Clinic,Tujdv27pLc6,Clinic,PFP,2.698465,32.315346,Acholi,Non-Functional
