facility_name,facility_code,facility_type,facility_ownership,latitude,longitude,admin1,status
Banja la mtsogolo,LL040036,Unclassified,Non-Government,-13.89488,33.76206,Centrals West Zone,Functional
Area 25,LL040037,Health Centre,Government,-13.89272,33.77465,Centrals West Zone,Functional
Area 30 clinic,LL040038,Clinic,Other,-13.9279,33.78419,Centrals West Zone,Functional
Area 36 Living Waters,LL040039,Dispensary,Private,-14.0119727,33.7787036,Centrals West Zone,Functional
Army,LK180040,Dispensary,Other,-12.08098,34.731191,North Zone,Non-functional
Chitekwe,BT240041,Health Centre,Private,-15.84,35.09,South East Zone,Functional
Asante Private Clinic,SA090042,Clinic,Private,-13.77065,34.44174,Central East Zone,Functional
Asimec,NT080043,Clinic,Private,-13.3587,33.91619,Central East Zone,Functional
Chakunyanja,KB050044,Clinic,Private,-11.61,34.3,North Zone,Functional
As-slam clinic,MG200045,Clinic,Other,-14.54537,35.19221,South West Zone,Functional
Atupele,KA150046,Hospital,Christian Health Association of Malawi (CHAM),-9.73682,33.83744,North Zone,Functional
Atupele Pvt Clinic,MG200047,Dispensary,Private,NA,NA,South West Zone,Functional
Auction Holdings Clinic,BT240048,Clinic,Private,-15.81195,35.06417,South East Zone,Functional
Auction,MZ160049,Clinic,Private,-11.46341,34.02053,North Zone,Non-functional
Auction Holdings Clinic,LL040050,Dispensary,Parastatal,-13.89089,33.79952,Centrals West Zone,Functional
Ayali Private Clinic,BT240051,Clinic,Private,-15.66,35.02,South East Zone,Functional
Balaka Banja La Mtsogolo clinic,BK170052,Clinic,Non-Government,-14.98876,34.95557,South West Zone,Functional
Balaka District Hospital,BK170053,District Hospital,Government,-14.98498,34.94959,South West Zone,Functional
Dream Clinic,BK170054,Clinic,Christian Health Association of Malawi (CHAM),-15.00322,34.95248,South West Zone,Functional
Balaka Private Clinic,BK170055,Clinic,Private,-14.98339,34.9617,South West Zone,Functional
Bamusi Post,MG200056,Health Post,Government,NA,NA,South West Zone,Functional
Maziko,LL040057,Clinic,Mission/Faith-based (other than CHAM),-14.00507,33.81629,Centrals West Zone,Non-functional
Bangwe BLM,BT240058,Clinic,Non-Government,NA,NA,South East Zone,Functional
Bangwe,BT240059,Health Centre,Government,-15.823832,35.080477,South East Zone,Functional
BLM,KB050060,Clinic,Private,-11.609069999999999,34.29899,North Zone,Closed
Banja Care Clinic,BT240061,Clinic,Private,-16.01,35.49,South East Zone,Functional
Banja la Mtsogolo,CP060062,Clinic,Non-Government,-15.3890539,35.320048,North Zone,Functional
Banzi,BT240063,Health Centre,Private,NA,NA,South East Zone,Functional
Baptist health centre,SA090064,Health Centre,Christian Health Association of Malawi (CHAM),-13.73887,34.59749,Central East Zone,Functional
Bayani,NT120065,Health Post,Government,-15.1729008,34.6966684,Centrals West Zone,Functional
Baylor,LL040066,Clinic,Non-Government,-13.977985,33.786847,Centrals West Zone,Functional
BB Clinic,DE030067,Clinic,Mission/Faith-based (other than CHAM),-14.3874968,34.3291278,Centrals West Zone,Non-functional
Beit Cure,BT240068,Hospital,Non-Government,-15.80354,35.01753,South East Zone,Functional
Bereu,CK270069,Dispensary,Government,-16.15199,34.85376,South East Zone,Functional
Bello,CK270070,Dispensary,Private,-16.26044,34.86844,South East Zone,Functional
Belton Kapyepye Memorial Clini,BT240071,Clinic,Private,-15.80869,34.99434,South East Zone,Functional
Bembeke,DE030072,Health Centre,Christian Health Association of Malawi (CHAM),-14.35825,34.42432,Centrals West Zone,Functional
Chipatala cha boma,NK100073,Health Centre,Government,-13.36846,34.27404,Central East Zone,Functional
Kachale,BT240074,Clinic,Private,-15.78018,35.07352,South East Zone,Functional
Bethesda,TH310075,Clinic,Private,-16.01,35.31,South East Zone,Non-functional
Bethsaida,NK100076,Clinic,Private,-12.846881,34.245704,Central East Zone,Functional
Bethsaida,LL040077,Hospital,Private,-13.93387,33.79202,Centrals West Zone,Functional
BKM PVT Clinic,BT240078,Clinic,Private,-15.78826,35.00554,South East Zone,Functional
Bilal islamic,CR260079,Hospital,Private,-15.7414865,35.1304713,South East Zone,Functional
Bilila,NT120080,Health Centre,Government,-14.82489,34.85134,Centrals West Zone,Functional
Biliwiri,NT120081,Health Centre,Government,-14.817,34.638306,Centrals West Zone,Functional
Billy Riordan clinic,MG200082,Clinic,Non-Government,-14.0319916,34.8402186,South West Zone,Functional
Bimbi,ZA230083,Health Centre,Government,-15.30876,35.4794,South West Zone,Functional
Blantyre Adventist Hospital,BT240084,Hospital,Private,-15.7824,35.0031,South East Zone,Functional
City assembly,BT240085,Clinic,Government,-15.8,35.04,South East Zone,Functional
Blantyre DHO Pharmarcy,BT240086,Clinic,Government,NA,NA,South East Zone,Functional
Blantyre Dream Project (Mandala),BT240087,Health Centre,Non-Government,-15.79182,35.01273,South East Zone,Functional
Makadam Pvt Clinic,BT240088,Clinic,Private,-15.786933,35.007778,South East Zone,Functional
Blantyre Water Board - Mudi,BT240089,Clinic,Other,-15.7953,35.03811,South East Zone,Functional
Waterboard Clinic-Mudi,BT240090,Unclassified,Private,-15,33,South East Zone,Functional
Blessings,LL040091,Hospital,Mission/Faith-based (other than CHAM),-13.79099,33.81707,Centrals West Zone,Functional
Bliss,SA090092,Dispensary,Private,-13.78929,34.46206,Central East Zone,Functional
Banja la mtsogolo,TH310093,Clinic,Non-Government,-15.93133,35.08213,South East Zone,Functional
Banja la mtsogolo,LL040094,Clinic,Non-Government,-13.99646,33.77897,Centrals West Zone,Functional
Kawale Banja la mtsogolo,LL040095,Clinic,Non-Government,-13.9915,33.79514,Centrals West Zone,Functional
Banja la Mtsongolo,MC190096,Clinic,Non-Government,-15.0694,35.22766,South West Zone,Non-functional
BLM Lunzu,BT240097,Clinic,Non-Government,-15.65114,35.02028,South East Zone,Functional
BLM,MC010098,Clinic,Non-Government,-13.79508,32.89221,Centrals West Zone,Non-functional
Midima BLM,CR260099,Dispensary,Non-Government,-15.83121,35.08006,South East Zone,Non-functional
Banja la Mtsogolo,DA020100,Clinic,Non-Government,-13.53197,33.73802,Central East Zone,Functional
BLM,MZ160101,Clinic,Non-Government,-11.89882,33.59402,North Zone,Functional
BLM,MZ160102,Clinic,Non-Government,-11.45612,34.01638,North Zone,Functional
Ntcheu BLM,NT120103,Clinic,Non-Government,-14.81394,34.63512,Centrals West Zone,Functional
Banja Lamtsogolo,BT240104,Clinic,Non-Government,-15.8,35,South East Zone,Functional
BLM Zingwangwa Clinic,BT240105,Clinic,Non-Government,-15.81847,35.01171,South East Zone,Functional
Bloomfield,MU210106,Dispensary,Private,-16.057405,35.673299,South West Zone,Functional
Bolero hospital,RU140107,Hospital,Government,-10.97843,33.74342,North Zone,Functional
Bondo health center,MU210108,Health Centre,Government,-16.04267,35.61388,South West Zone,Functional
Boulos,LL040109,Clinic,Private,-13.98821,33.76929,Centrals West Zone,Non-functional
Bowa,DE030110,Clinic,Private,-14.3102,34.65581,Centrals West Zone,Non-functional
Bowe,DA020111,Health Centre,Government,-13.27878,33.68392,Central East Zone,Functional
Brothers Private Clinic,DE030112,Clinic,Private,-14.397146,34.327339,Centrals West Zone,Non-functional
Bua,KU070113,Health Centre,Government,-13.29403,33.53859,Central East Zone,Functional
Bua,NK100114,Health Centre,Government,-12.7967,34.20971,Central East Zone,Functional
Bula,KB050115,Health Centre,Government,-11.22268,34.12324,North Zone,Functional
Bulala,MZ160116,Health Centre,Government,-11.6781,33.44798,North Zone,Functional
Chingagwe,BK170117,Clinic,Government,NA,NA,South West Zone,Functional
Buli,LL040118,Health Post,Mission/Faith-based (other than CHAM),-13.919059,33.705512,Centrals West Zone,Non-functional
Bunda campus,LL040119,Health Centre,Parastatal,-14.18038,33.77554,Centrals West Zone,Functional
Bvumbwe Clinic - Limbe Muslim Jamat,TH310120,Dispensary,Non-Government,NA,NA,South East Zone,Functional
Research,TH310121,Health Centre,Government,-15.93981,35.02633,South East Zone,Functional
Bottom,LL040122,District Hospital,Government,-13.99164,33.77561,Centrals West Zone,Functional
Bwanje,NT120123,Health Centre,Government,-14.64857,34.77445,Centrals West Zone,Functional
Bwengu,MZ160124,Health Centre,Government,-11.06356,33.91646,North Zone,Functional
Bwese,LL040125,Clinic,Government,-14.223459,33.942495,Centrals West Zone,Non-functional
Care Medical,MZ160126,Clinic,Private,-15.0721589,35.2327018,North Zone,Functional
Care PolyClinic Cross Roads,LL040127,Dispensary,Private,NA,NA,Centrals West Zone,Functional
Care,KA150128,Clinic,Private,-9.9394464,33.9229215,North Zone,Functional
SOBO,BT240129,Clinic,Private,-15.79,35.03,South East Zone,Functional
Sobo,LL040130,Clinic,Private,-13.90107,33.79697,Centrals West Zone,Non-functional
CCK Health,LL040131,Dispensary,Private,-13.98302,33.75233,Centrals West Zone,Functional
Central 3 clinic,NK100132,Clinic,Private,-12.5033,34.1308,Central East Zone,Functional
Railways Private Clinic,BT240133,Clinic,Private,-15.81536,35.0633,South East Zone,Functional
Central Health Clinic,LL040134,Dispensary,Private,NA,NA,Centrals West Zone,Functional
Alinafe,MC010135,Clinic,Private,-13.51775,32.95893,Centrals West Zone,Non-functional
Chabvala,BT240136,Health Centre,Government,-15.83372,34.83461,South East Zone,Functional
Chadza,LL040137,Health Centre,Government,-14.14715,33.84167,Centrals West Zone,Functional
Chagoma,MZ160138,Health Post,Government,-11.214085,33.807507,North Zone,Functional
Tembwe,SA090139,Health Centre,Government,-13.88028,34.36721,Central East Zone,Functional
Chakhaza,DA020140,Health Centre,Government,-13.44421,33.64676,Central East Zone,Functional
Chama,CK270141,Clinic,Private,-16.264938,34.868513,South East Zone,Non-functional
Vision,KU070142,Dispensary,Government,-12.924306,33.776861,Central East Zone,Functional
Chamba,MC190143,Dispensary,Government,-15.20234,35.42137,South West Zone,Functional
Chamba,ZA230144,Health Centre,Government,-15.46571,35.51662,South West Zone,Functional
Chambe Health Centre,MU210145,Health Centre,Government,-16.071315,35.482338,South West Zone,Functional
Chambo,CP060146,Health Centre,Christian Health Association of Malawi (CHAM),-9.94361,33.39795,North Zone,Functional
Champiti,NT120147,Health Centre,Government,-14.90241,34.73185,Centrals West Zone,Functional
Chamwabvi,KU070148,Health Centre,Government,-13.10757,33.68528,Central East Zone,Functional
Chanco clinic,ZA230149,Clinic,Parastatal,-15.38533,35.33213,South West Zone,Functional
Chang'ambika,CK270150,Health Centre,Government,-15.80301,34.30928,South East Zone,Functional
Changalume,ZA230151,Health Centre,Government,-15.3896,35.21184,South West Zone,Functional
Changata,TH310152,Health Centre,Government,-16.078196,35.061008,South East Zone,Functional
Chankhungu,DA020153,Health Centre,Government,-13.76492,34.01471,Central East Zone,Functional
Erapecha,CK270154,Clinic,Private,-16.26044,34.86844,South East Zone,Non-functional
Mkadana,CK270155,Clinic,Government,-16.00551,34.48567,South East Zone,Functional
Chapola,MG200156,Dispensary,Private,NA,NA,South West Zone,Functional
Chipwaila Health Centre,CK270157,Health Centre,Government,-16.39842,34.77572,South East Zone,Functional
Charity Fellium Private Maternity Clinic,ZA230158,Clinic,Private,-15.38527,35.36156,South West Zone,Functional
Chapusa,MC190159,Health Post,Government,-14.94175,35.613673,South West Zone,Functional
chavula,ZA230160,Clinic,Private,-15.41083,35.32392,South West Zone,Functional
Chawone,TH310161,Dispensary,Government,-16.078196,35.061008,South East Zone,Non-functional
Chawezi private clinic,MC010162,Clinic,Private,-13.827426,33.044326,Centrals West Zone,Functional
Chendo,CP060163,Health Post,Government,-9.882464,33.410688,North Zone,Functional
Chesamu,KB050164,Health Centre,Government,-11.85422,34.01836,North Zone,Functional
Chagogo,LL040165,Clinic,Private,-14.07277,33.83195,Centrals West Zone,Non-functional
Chezi Mission Hospital,DA020166,Hospital,Christian Health Association of Malawi (CHAM),-13.65,34.04,Central East Zone,Functional
Chiwanja Pvt,MZ160167,Clinic,Private,-11.4509801,34.0117584,North Zone,Functional
Chibathi,MU210168,Health Post,Christian Health Association of Malawi (CHAM),-16.0712505,35.4823584,South West Zone,Functional
Chichiri ESCOM Clinic,BT240169,Clinic,Private,-15.79342,35.02444,South East Zone,Functional
Chichiri Prison Clinic,BT240170,Clinic,Government,-15.80577,35.03242,South East Zone,Functional
Chididi,NK100171,Health Centre,Christian Health Association of Malawi (CHAM),-13.08573,34.31474,Central East Zone,Functional
Chididi,NS300172,Health Centre,Christian Health Association of Malawi (CHAM),-16.91495,35.17333,South East Zone,Functional
chiendausiku,BK170173,Health Centre,Government,-15.01855,35.07653,South West Zone,Functional
Chifundo private clinic,NT120174,Clinic,Private,-14.819312,34.647228,Centrals West Zone,Non-functional
Chifundo private clinic,BT240175,Clinic,Private,-15.77562,34.98003,South East Zone,Functional
Chifunga Health center,NE290176,Health Centre,Government,-15.59825,34.69892,South East Zone,Functional
Chogeli clinic,BT240177,Clinic,Private,-15.841674,35.044006,South East Zone,Functional
Chigodi,NT120178,Health Centre,Christian Health Association of Malawi (CHAM),-14.49194,34.54126,Centrals West Zone,Functional
Chabisika,LL040179,Clinic,Private,-13.8803,33.76018,Centrals West Zone,Non-functional
Chigumula Clinic,BT240180,Clinic,Government,-15.89,35.06,South East Zone,Functional
Chihepusha,KA150181,Health Post,Government,-10.332331,34.110642,North Zone,Functional
Chikande,NT120182,Clinic,Government,-14.77261,34.90768,Centrals West Zone,Functional
Chikangawa,MZ160183,Clinic,Mission/Faith-based (other than CHAM),NA,NA,North Zone,Non-functional
Chikangawa,MZ160184,Health Centre,Government,-11.843327,33.8007455,North Zone,Functional
Chikole,MG200185,Clinic,Government,-14.422,35.38427,South West Zone,Functional
Chikowa,NT120186,Health Centre,Government,-14.959023,34.720362,Centrals West Zone,Functional
Chikowa,BT240187,Health Centre,Government,-15.67133,34.87172,South East Zone,Functional
Chizu,LL040188,Health Centre,Government,-13.72929,33.45821,Centrals West Zone,Functional
chikuli,MU210189,Dispensary,Private,-16.052873,35.645496,South West Zone,Functional
chikumbutso,KU070190,Clinic,Private,-13.06516,33.43482,Central East Zone,Functional
Chikuse,DE030191,Health Centre,Government,-14.15069,34.31881,Centrals West Zone,Functional
Chikutu,KA150192,Health Post,Government,-9.774048,33.734621,North Zone,Functional
Chikwawa,CK270193,District Hospital,Government,-16.0234699,34.79346,South East Zone,Functional
Chikweo,MC190194,Health Centre,Government,-14.7655,35.66691,South West Zone,Functional
Chikwina,KB050195,Health Centre,Government,-11.39694,34.16973,North Zone,Functional
Chilamba,DE030196,Clinic,Government,-14.356998,34.235692,Centrals West Zone,Non-functional
Chilambwe,KB050197,Health Centre,Christian Health Association of Malawi (CHAM),-11.69114,34.31617,North Zone,Functional
Chilani,BT240198,Health Centre,Private,-15.82874,35.00677,South East Zone,Functional
Chilani,NK100199,Clinic,Private,-12.730911,34.170489,Central East Zone,Functional
Child Legacy (Mkanga),LL040200,Health Centre,Christian Health Association of Malawi (CHAM),-14.0685264,33.472115,Centrals West Zone,Functional
Children of,LL040201,Dispensary,Private,NA,NA,Centrals West Zone,Functional
Chileka,BT240202,Health Centre,Government,-15.682466,34.970663,South East Zone,Functional
Chileka,LL040203,Health Centre,Government,-14.02102,33.38544,Centrals West Zone,Functional
Malamulo,BT240204,Health Centre,Christian Health Association of Malawi (CHAM),-15.65986,34.92904,South East Zone,Functional
Chilengo,TH310205,Dispensary,Government,-16.136105,35.015899,South East Zone,Functional
Chilewani,LL040206,Clinic,Mission/Faith-based (other than CHAM),-13.90729,33.75061,Centrals West Zone,Non-functional
Chirimba,BT240207,Health Centre,Government,-15.746368,35.022984,South East Zone,Functional
Chilinda clinic,RU140208,Health Post,Government,-10.59101,33.80605,North Zone,Functional
Chilinde,LL040209,Clinic,Government,-13.99587,33.81026,Centrals West Zone,Functional
chilingwe,MU210210,Dispensary,Private,-16.004056,35.648588,South West Zone,Non-functional
Chilipa,MG200211,Health Centre,Government,-14.6996,34.9732,South West Zone,Functional
Chilipa,ZA230212,Health Centre,Christian Health Association of Malawi (CHAM),-15.32447,35.11715,South West Zone,Functional
Chilobwe Private Clinic,BT240213,Clinic,Private,-15.83305,35.00742,South East Zone,Functional
Chilobwe,LL040214,Health Centre,Government,-13.85467,33.37439,Centrals West Zone,Functional
Chilomoni pvt clinic,BT240215,Clinic,Private,-15.77435,34.98145,South East Zone,Functional
Chilomoni,BT240216,Health Centre,Government,-15.77128,34.98156,South East Zone,Functional
BLM Chilomoni Clinic,BT240217,Health Centre,Non-Government,NA,NA,South East Zone,Functional
Chilonga,MG200218,Health Centre,Government,-14.4672204,34.8711754,South West Zone,Functional
Chilukwa,MZ160219,Health Post,Christian Health Association of Malawi (CHAM),-11.286936,33.821297,North Zone,Functional
Chilumba Barracks,KA150220,Health Centre,Government,-10.39021,34.20897,North Zone,Functional
Jetty,KA150221,Hospital,Government,-10.43199,34.25193,North Zone,Functional
Chimaliro Health Centre,TH310222,Health Centre,Government,-15.97706,35.18162,South East Zone,Functional
Ali,LL040223,Clinic,Private,-13.78326,33.81586,Centrals West Zone,Non-functional
Chimatiro,BK170224,Dispensary,Government,-14.962681,35.023092,South West Zone,Functional
Chitekwere,LL040225,Health Centre,Government,-13.9358,34.12567,Centrals West Zone,Functional
Chimbira,MC190226,Health Post,Government,-14.601369,35.805155,South West Zone,Functional
Chimembe,BT240227,Health Centre,Government,-15.77733,34.88548,South East Zone,Functional
Chimoto,DE030228,Health Centre,Government,-14.44268,34.01021,Centrals West Zone,Functional
Chimukusa,MZ160229,Clinic,Private,-11.91,33.59,North Zone,Non-functional
Chimvu,TH310230,Health Centre,Government,-15.94198,35.12308,South East Zone,Functional
Chimwala Health Centre,LL040231,Clinic,Christian Health Association of Malawi (CHAM),-14.05121,33.79419,Centrals West Zone,Functional
Chimwankango,MC010232,Dispensary,Government,-13.40461,32.99357,Centrals West Zone,Functional
Chimwawa,CR260233,Health Centre,Government,-15.909166,35.258729,South East Zone,Non-functional
Chimwemwe,KU070234,Clinic,Private,-12.5670818,33.5113505,Central East Zone,Functional
Maseko,ZA230235,Dispensary,Mission/Faith-based (other than CHAM),-15.3816,35.35584,South West Zone,Functional
Ching'oma,NS300236,Health Post,Government,-16.999306,35.109333,South East Zone,Functional
Chingadzi Hospital,TH310237,Hospital,Christian Health Association of Malawi (CHAM),-15.91842,35.20595,South East Zone,Functional
Chingale,ZA230238,Health Centre,Government,-15.39694,35.1808,South West Zone,Functional
Chinguluwe,NT080239,Health Centre,Government,-13.2614988,33.868625,Central East Zone,Functional
Chinguluwe,SA090240,Health Centre,Government,-13.66454,34.38503,Central East Zone,Functional
Chinguma,ZA230241,Health Post,Government,-15.230167,35.800284,South West Zone,Functional
Chinjobvu clinic,BT240242,Clinic,Private,-15.73676,35.0192,South East Zone,Functional
Chinkhwiri,DA020243,Health Centre,Government,-13.38557,33.72106,Central East Zone,Functional
Chinsapo Clinic,LL040244,Dispensary,Government,NA,NA,Centrals West Zone,Functional
Chinsasu,CP060245,Clinic,Government,-9.68485,33.41856,North Zone,Functional
Chintheche,KB050246,Hospital,Government,-11.82719,34.16836,North Zone,Functional
Chinthembwe,NT080247,Health Centre,Christian Health Association of Malawi (CHAM),-13.43326,33.97527,Central East Zone,Functional
Chinyama,KU070248,Health Centre,Government,-12.974524,33.797009,Central East Zone,Functional
Chinyama Health Centre,MU210249,Health Centre,Government,-16.1565351,35.3409743,South West Zone,Functional
Chiole,NT120250,Dispensary,Christian Health Association of Malawi (CHAM),-14.79743,34.64265,Centrals West Zone,Non-functional
Chioshya,MC010251,Health Centre,Government,-13.79586,33.17534,Centrals West Zone,Functional
Chipho,TH310252,Health Centre,Christian Health Association of Malawi (CHAM),-16.171528,35.110222,South East Zone,Functional
Chiphwanya,DE030253,Health Centre,Christian Health Association of Malawi (CHAM),-14.0848458,34.2583098,Centrals West Zone,Non-functional
Chipini,ZA230254,Health Centre,Christian Health Association of Malawi (CHAM),-15.39007,35.09531,South West Zone,Functional
Chipoka,SA090255,Health Centre,Government,-13.98973,34.51545,Central East Zone,Functional
Chipolonga,MC190256,Clinic,Government,-14.855441,35.685485,South West Zone,Non-functional
Chiponde,MG200257,Dispensary,Government,-14.373385,35.60143,South West Zone,Functional
Chipulumutso,KU070258,Clinic,Private,-13.30101,33.52806,Central East Zone,Non-functional
Chipumi,MC010259,Health Centre,Government,-13.62519,33.08151,Centrals West Zone,Functional
Chipwera,CP060260,Health Post,Government,-9.773001,33.522856,North Zone,Functional
Chiradzulu District Hospital,CR260261,District Hospital,Government,-15.7107196,35.1742529,South East Zone,Functional
Chilani,BT240262,Health Centre,Private,NA,NA,South East Zone,Functional
Chiringa,PH220263,Clinic,Government,-15.7724,35.769676,South West Zone,Functional
Chiringa CHAM,PH220264,Health Centre,Christian Health Association of Malawi (CHAM),-15.765692,35.761923,South West Zone,Functional
Lilongwe private clinic,LL040265,Clinic,Private,-13.93877,33.7921,Centrals West Zone,Non-functional
Chisala,KB050266,Health Centre,Government,-11.6064929,34.2540704,North Zone,Functional
chisambo,MU210267,Clinic,Other,-16.03822,35.70899,South West Zone,Functional
Chisenga,CP060268,Health Post,Government,-9.974946,33.389664,North Zone,Functional
chisepo,DA020269,Health Centre,Government,-13.63492,33.47017,Central East Zone,Functional
Chisi,ZA230270,Health Centre,Government,-1,1,South West Zone,Functional
Chisimuka,RU140271,Health Centre,Government,-10.76924,33.55751,North Zone,Functional
Chinsinga,KU070272,Health Centre,Government,-12.622028,33.326917,Central East Zone,Functional
Chisitu,MU210273,Health Centre,Government,-16.0009921,35.4330321,South West Zone,Functional
Chisoka Health centre,TH310274,Health Centre,Government,-15.94181,35.20879,South East Zone,Functional
Chisomo,NK100275,Clinic,Private,-12.627012,34.169701,Central East Zone,Functional
Chisomo Dental Clinic.,TH310276,Clinic,Private,-16.01,35.31,South East Zone,Non-functional
Chisomo,DE030277,Clinic,Private,-14.384728,34.319712,Centrals West Zone,Non-functional
Chisunga,TH310278,Health Post,Government,-13,33,South East Zone,Functional
Chisuwi,MC190279,Health Post,Government,-14.968767,35.45754,South West Zone,Functional
Chitala,SA090280,Health Centre,Christian Health Association of Malawi (CHAM),-13.67161,34.27174,Central East Zone,Functional
Gombwa,BT240281,Hospital,Private,-15.81293,35.02274,South East Zone,Functional
Chitedze,LL040282,Health Centre,Government,-13.97684,33.64529,Centrals West Zone,Functional
Chitekesa,PH220283,Health Centre,Government,-15.5521738,35.611432,South West Zone,Functional
Chitekwe Arthur D. Arthur Gar,BT240284,Clinic,Private,-15.83626,35.09193,South East Zone,Functional
Chitekwele,LL040285,Health Post,Government,-13.968615,34.096079,Centrals West Zone,Non-functional
Chitera,CR260286,Health Centre,Government,-15.60646,35.12306,South East Zone,Functional
Chitete,MC010287,Clinic,Private,-13.54479,33.17579,Centrals West Zone,Non-functional
Chinthandizo,BK170288,Clinic,Private,NA,NA,South West Zone,Functional
chithebe dispensary,TH310289,Dispensary,Government,-16.00218,35.01294,South East Zone,Functional
Chitheka,KB050290,Health Centre,Government,-11.6080989,34.3016984,North Zone,Functional
Chithumba Health Centre,CK270291,Health Centre,Government,-15.80369,34.47629,South East Zone,Functional
Chitimba,RU140292,Health Centre,Government,-10.59808,34.17026,North Zone,Functional
Chitipa,CP060293,District Hospital,Government,-9.70159,33.2659,North Zone,Functional
Chitowo,DE030294,Health Centre,Government,-14.22584,34.03961,Centrals West Zone,Functional
Chitundu,MC190295,Health Post,Government,-14.915042,35.650339,South West Zone,Functional
Chiumbangame,MG200296,Dispensary,Government,-14.31739,35.55721,South West Zone,Functional
Chiunda,MG200297,Clinic,Government,-14.7778842,35.4392003,South West Zone,Functional
Chiunjiza,LL040298,Health Centre,Government,-14.24322,33.4013,Centrals West Zone,Functional
Chiwamba,LL040299,Health Centre,Government,-13.8571,33.92926,Centrals West Zone,Functional
Kanandi Private Clinic,NT120300,Clinic,Private,-14.7772,34.56924,Centrals West Zone,Functional
Chiwe,LL040301,Health Centre,Christian Health Association of Malawi (CHAM),-13.90738,33.39862,Centrals West Zone,Functional
Chiweta,CP060302,Health Post,Government,-9.646359,33.246835,North Zone,Functional
Chiwoza,LL040303,Health Centre,Government,-14.13,33.72,Centrals West Zone,Functional
Chiza,KA150304,Clinic,Private,-10.4556943,34.2099356,North Zone,Functional
Vizimba Clinic,DE030305,Clinic,Private,-14.37657,34.33303,Centrals West Zone,Functional
Chizolowondo,DA020306,Health Centre,Government,-13.46336,33.51328,Central East Zone,Functional
St. Marys,KB050307,Clinic,Mission/Faith-based (other than CHAM),-12.03,34.62,North Zone,Functional
Chololo,MZ160308,Health Post,Government,-11.014233,33.972657,North Zone,Functional
Choma,MZ160309,Health Centre,Government,-11.31318,33.99327,North Zone,Functional
