facility_name,facility_code,facility_type,facility_ownership,latitude,longitude,admin1,status
OLMOTI,112378-5,Dispensary,Public,-3.426427,36.593784,Arusha,Operating
LIFECARE SPECIALIZED POLYCLINIC,120305-8,Clinic,Private,NA,NA,Arusha,Operating
ST. ELIZABETH,107581-1,Hospital,Private,-3.368883,36.677593,Arusha,Operating
FIRST CARE,120261-3,Dispensary,Private,-3.39336,36.67896,Arusha,Operating
HIGHWAY,110723-4,Dispensary,Private,-3.3729,36.68527,Arusha,Operating
FARAJA PALLOTI,121235-6,Physiotherapy Clinic,Private,NA,NA,Arusha,Operating
PATRICK PEYTON RC,120757-0,Health Center,Private,-3.40019,36.66621,Arusha,Operating
FAITH,101121-2,Dispensary,Private,-3.36737,36.72316,Arusha,Operating
ARUSHA SDA,121377-6,Clinic,Private,NA,NA,Arusha,Operating
MEGACARE,121011-1,Clinic,Private,NA,NA,Arusha,Operating
CHARITY MODERN,111963-5,Health Laboratory,Private,-3.38155,36.66116,Arusha,Operating
LULU MEDICAL,103705-0,Dispensary,Private,-3.37824,36.6625,Arusha,Operating
BEKESA,121092-1,Clinic,Private,NA,NA,Arusha,Operating
RESPECT,113547-4,Health Laboratory,Private,-3.38497,36.68385,Arusha,Operating
SUNSHINE,120895-8,Dispensary,Private,-3.40321,36.75906,Arusha,Operating
GEMSA,113625-8,Clinic,Private,-3.37508,36.69968,Arusha,Operating
ZEBRA,110921-4,Clinic,Private,-3.366802,36.684627,Arusha,Operating
ARUSHA SCHOOL,100190-8,Dispensary,Public,-3.3742,36.69426,Arusha,Operating
KUHENGA,113548-2,Health Laboratory,Private,-3.36363,36.66777,Arusha,Operating
TRUE,113544-1,Health Laboratory,Private,-3.41618,36.65687,Arusha,Operating
MT. MERU,105316-4,Hospital,Public,-3.36642,36.69498,Arusha,Operating
NGULELO,112832-1,Clinic,Private,-3.36597,36.72672,Arusha,Operating
HI-TEK,122176-1,Health Laboratory,Private,NA,NA,Arusha,Operating
LANCET,112000-5,Health Laboratory,Private,-3.37264,36.68842,Arusha,Operating
ROLAND HEALTH CARE,123714-8,Clinic,Private,-3.39363,36.70389,Arusha,Operating
SHREE HINDU,107442-6,Hospital,Private,-3.37712,36.68922,Arusha,Operating
NSK,111486-7,Hospital,Private,-3.380651,36.684811,Arusha,Operating
LANCET GEMSA,123008-5,Health Laboratory,Private,-3.37508,36.69968,Arusha,Operating
HEALTH-4-ALL,122784-2,Maternity Home,Private,-3.22245,36.41591,Arusha,Operating
ORBIT,120896-6,Clinic,Private,-3.37051,36.69912,Arusha,Operating
WANJIRO,113626-6,Health Laboratory,Private,-3.416383,36.704574,Arusha,Operating
JIGABHA,122451-8,Health Laboratory,Private,NA,NA,Arusha,Operating
ST. THOMAS,107637-1,Health Center,Private,-3.372425,36.688475,Arusha,Operating
MOYO MEDICARE,112930-3,Clinic,Private,-3.364268,36.698327,Arusha,Operating
HOPE,111782-9,Dispensary,Private,-3.424183,36.658004,Arusha,Operating
QUBE,113631-6,Health Laboratory,Private,-3.37452,36.73815,Arusha,Operating
BANGATA LUTHERAN,100309-4,Dispensary,Private,-3.33582,36.74476,Arusha,Operating
SELIAN,109595-9,Hospital,Private,-3.32548,36.6501,Arusha,Operating
ASHENGAI,113656-3,Health Laboratory,Private,-3.38493,36.58884,Arusha,Operating
KIMNYAKI MAASAI,102913-1,Dispensary,Private,-3.31311,36.64154,Arusha,Operating
KIVULUL,121779-3,Dispensary,Public,-3.34075,36.70718,Arusha,Operating
KISONGO,113654-8,Health Laboratory,Private,-3.372808,36.571935,Arusha,Operating
PAMOJA,111143-4,Clinic,Private,-3.31926,36.63523,Arusha,Operating
TUMAINIJEMA,111967-6,Health Laboratory,Private,-3.35025,36.64896,Arusha,Operating
LEMGUR,124255-1,Dispensary,Public,-3.42247,36.57694,Arusha,Operating
ILBORU SECONDARY,121490-7,Dispensary,Public,-3.34715,36.68728,Arusha,Operating
ESSOKA,109788-0,Dispensary,Private,-3.60492,36.66354,Arusha,Operating
ILKREVI,101745-8,Dispensary,Public,-3.37545,36.68302,Arusha,Operating
SAMBASHA,109545-4,Dispensary,Public,-3.293279,36.673411,Arusha,Operating
NGIRES,106388-2,Dispensary,Public,-3.33731,36.7346,Arusha,Operating
KISONGO CHARITABLE,109536-3,Health Center,Private,-3.37211,36.57025,Arusha,Operating
COGI NGARAMTONI,100916-6,Dispensary,Private,-3.31571,36.6388,Arusha,Operating
OLEMASEKE,123170-3,Dispensary,Private,-3.35735,36.68373,Arusha,Operating
NGORBOBO,106418-7,Dispensary,Public,-3.37559,36.57303,Arusha,Operating
OLDONYO SAMBU,106900-4,Health Center,Public,-3.15592001,36.68288001,Arusha,Operating
MUUNGANO,105727-2,Dispensary,Private,-3.45362,36.71341,Arusha,Operating
ILKUROT,121897-3,Dispensary,Public,-3.21224,36.62733,Arusha,Operating
OLKOKOLA,106913-7,Health Center,Public,-3.24666,36.64528,Arusha,Operating
MBUYUNI,104673-9,Health Center,Public,-3.574294,36.65867,Arusha,Operating
LENGIJAVE,103468-5,Dispensary,Public,-3.22259,36.6029,Arusha,Operating
OLDONYOWASI,106904-6,Dispensary,Public,-3.16025001,36.703001,Arusha,Operating
DR MASUDI,120304-1,Dispensary,Private,-3.37367,36.57231,Arusha,Operating
ZACI ILKIDING'A,109693-2,Dispensary,Private,-3.32286,36.68443,Arusha,Operating
MOUNT MERU,111144-2,Dispensary,Private,-3.362067,36.704846,Arusha,Operating
MIRONGOINE,109813-6,Dispensary,Private,-3.60759,36.66324,Arusha,Operating
NAMAYANI,123975-5,Dispensary,Private,-3.39563,36.53261,Arusha,Operating
ANGESCENCIA,124385-6,Dispensary,Private,-3.33867,36.69987,Arusha,Operating
ST.BAJO,123273-5,Health Laboratory,Private,-3.36133,36.70523,Arusha,Operating
DAREDA,122194-4,Health Laboratory,Private,NA,NA,Arusha,Operating
OLKOKOLA RC,106914-5,Dispensary,Private,-3.26578,NA,Arusha,Operating
OLGILAI,106906-1,Dispensary,Public,-3.34238,36.72191,Arusha,Operating
KISONGO SDA,107338-6,Dispensary,Private,-3.370954,36.546784,Arusha,Operating
MUNGUSH,105691-0,Dispensary,Public,-3.53059,36.83493,Arusha,Operating
NEM,113657-1,Health Laboratory,Private,-3.34662,NA,Arusha,Operating
GOOD HOPE FAMILY,120876-8,Dispensary,Private,-3.31192,36.64026,Arusha,Operating
UMOJA,121619-1,Dispensary,Public,-3.33814,36.741954,Arusha,Operating
LESIRAA,103487-5,Dispensary,Public,-3.396869,36.506901,Arusha,Operating
ESTHER NGARAMTONI,109462-2,Dispensary,Public,-3.31241,36.64039,Arusha,Operating
LOVILUKUNY,121896-5,Dispensary,Public,-3.40269,36.54774,Arusha,Operating
MULLA,122197-7,Health Laboratory,Private,NA,NA,Arusha,Operating
M&M KIWERA,103805-8,Dispensary,Private,-3.35912,36.66115,Arusha,Operating
OLCHOROVOSI,110712-7,Dispensary,Public,-3.35641,36.66751,Arusha,Operating
KISONGO LUTHERAN,103131-9,Dispensary,Private,-3.37077,36.58481,Arusha,Operating
NAMELOK,121675-3,Dispensary,Public,-3.13514,36.74372,Arusha,Operating
MIDAWE,120444-5,Dispensary,Public,-3.340105,36.744204,Arusha,Operating
KIGONGONI,124254-4,Dispensary,Public,-3.53682,36.77853,Arusha,Operating
OLTRUMENT,106922-8,Hospital,Public,-3.30344,36.60487,Arusha,Operating
MOIVO,105273-7,Dispensary,Public,-3.350111,36.70016,Arusha,Operating
IMBIBIA,101800-1,Dispensary,Public,-3.265367,36.56532,Arusha,Operating
ELI SPECIALIZED POLYCLINIC,120349-6,Clinic,Private,-3.31736,36.63355,Arusha,Operating
MANYIRE,104283-7,Dispensary,Public,-3.457352,36.805677,Arusha,Operating
SONGAMBELE,124259-3,Health Center,Public,-3.55963,36.81094,Arusha,Operating
OLORIEN,121722-3,Health Center,Public,-3.3226,36.64204,Arusha,Operating
LIKAMBA,103512-0,Dispensary,Public,-3.32382,36.54664,Arusha,Operating
KIOGA,102981-8,Dispensary,Public,-3.32543,36.6982,Arusha,Operating
LAROI,124257-7,Dispensary,Public,-3.49457,36.62384,Arusha,Operating
KIRANYI,122202-5,Health Laboratory,Private,NA,NA,Arusha,Operating
ILBORU,113650-6,Health Laboratory,Private,-3.35787,36.69103,Arusha,Operating
AFYA,123009-3,Health Laboratory,Private,-3.32831,36.62291,Arusha,Operating
HOREBU HILL,111880-1,Dispensary,Private,-3.31431,36.64286,Arusha,Operating
KISAU,113655-5,Health Laboratory,Private,-3.37465,36.56958,Arusha,Operating
LOSINONI,103589-8,Dispensary,Public,-3.13209,36.72001,Arusha,Operating
EKENYWA,111366-1,Dispensary,Private,-3.304082,36.643429,Arusha,Operating
BANGATA,100308-6,Dispensary,Public,-3.35845,36.74753,Arusha,Operating
MATONYORATA,120769-5,Dispensary,Private,-3.1466,36.69138,Arusha,Operating
BWAWANI,100654-3,Dispensary,Public,-3.60778,36.84283,Arusha,Operating
KISONGO PAG,106947-5,Dispensary,Private,-3.37391,36.57036,Arusha,Operating
ENGORORA,111510-4,Health Center,Public,-3.35498,36.54587,Arusha,Operating
OLDADAI,106898-0,Dispensary,Public,-3.356071,36.73511,Arusha,Operating
UZIMA,123772-6,Dispensary,Private,-3.31571,36.63881,Arusha,Operating
KIMNYAKI,102912-3,Dispensary,Public,-3.307269,36.660028,Arusha,Operating
SEURI,109600-7,Dispensary,Public,-3.30744,36.63943,Arusha,Operating
NDURUMA,106287-6,Health Center,Public,-3.48004,36.79311,Arusha,Operating
MWANDET,105908-8,Dispensary,Public,-3.240352,36.538173,Arusha,Operating
TRAS,113652-2,Health Laboratory,Private,-3.35326,36.69612,Arusha,Operating
FORESTRY TRAINING INSTITUTE OLMOTONYI,106917-8,Dispensary,Public,-3.29021,36.65643,Arusha,Operating
ASH,122207-4,Health Laboratory,Private,NA,NA,Arusha,Operating
OLJORO,109720-3,Dispensary,Public,-3.54043,36.65061,Arusha,Operating
ILBORU,101722-7,Dispensary,Private,-3.35361,36.68923,Arusha,Operating
THEMI YA SIMBA,107818-7,Dispensary,Public,-3.58101,36.78534001,Arusha,Operating
MIRONGOINE GVT,124258-5,Dispensary,Public,-3.60775,36.66359,Arusha,Operating
ENGUTUKOITI,124256-9,Dispensary,Public,-3.08383,36.74951,Arusha,Operating
COGI OLDONYOSAMBU,100918-2,Dispensary,Private,-3.14588,36.69191,Arusha,Operating
ILKERIN,121773-6,Dispensary,Public,-3.37448,36.57251,Arusha,Operating
MUSA,105715-7,Dispensary,Public,-3.32405,36.520461,Arusha,Operating
KIVULINI,112313-2,Health Center,Private,-3.51706,36.87044,Arusha,Operating
PONA,121531-8,Health Laboratory,Private,30,40,Arusha,Operating
OLDONYOSAPUK,106903-8,Dispensary,Public,-3.3292,36.7094,Arusha,Operating
KISERIANI,103088-1,Dispensary,Public,-3.45026,36.73876,Arusha,Operating
KIRANYI,103029-5,Dispensary,Public,-3.342505,36.668095,Arusha,Operating
PERFECT,120922-0,Dispensary,Private,-3.34993,36.68501,Arusha,Operating
SAFARI,113545-8,Health Laboratory,Private,-3.31559,36.641,Arusha,Operating
MLANGARINI,105192-9,Dispensary,Public,-3.44595,36.78874,Arusha,Operating
BLACA,113651-4,Health Laboratory,Private,-3.35597,36.69614,Arusha,Operating
MAJIMOTO,104065-8,Dispensary,Public,-3.495187,36.852856,Arusha,Operating
MADUNGA,103870-2,Dispensary,Public,-4.13426,35.4413,Manyara,Operating
DAREDA,100954-7,Hospital,Private,-4.24021,35.49297,Manyara,Operating
GIJEDABUNG,101219-4,Dispensary,Public,-4.19015,35.9198,Manyara,Operating
GIDAS,101217-8,Health Center,Public,-4.42089,35.68066,Manyara,Operating
ENDABEG,101082-6,Dispensary,Public,-4.25317,35.66211,Manyara,Operating
MAWEMAIRO,104509-5,Dispensary,Public,-4.05706,35.76117,Manyara,Operating
MAGUGU,103993-2,Health Center,Public,-4.00028,35.77902,Manyara,Operating
ST.ALFRED RIRODA RC,107089-5,Dispensary,Private,-4.18033,35.3892,Manyara,Operating
RIRODA PUBLIC,110705-1,Dispensary,Public,-4.30053,35.64894,Manyara,Operating
MWIKANTSI,106019-3,Dispensary,Public,-4.13649,35.86707,Manyara,Operating
MERR,104744-8,Dispensary,Public,-4.10739,35.58061,Manyara,Operating
ARRI TSAAYO,100183-3,Dispensary,Public,-4.24142,35.58945,Manyara,Operating
MADUNGA KATI,112261-3,Dispensary,Public,-4.17197,35.45381,Manyara,Operating
ENDAGWE,101083-4,Dispensary,Public,-4.35535,35.64857,Manyara,Operating
MATUFA HEALTH LABORATORY,121582-1,Health Laboratory,Private,-4.01667,35.76667,Manyara,Operating
ENDAKISO,101086-7,Dispensary,Public,-4.2086,35.89043,Manyara,Operating
BASHNET,109512-4,Dispensary,Public,-4.23058,35.42924,Manyara,Operating
MASWARE,104434-6,Dispensary,Public,-4.045581,35.724869,Manyara,Operating
